"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.358138009200288 1 17 "GO:0000003" "reproduction" 0.5
0 0.130441871238868 3 37 "GO:0000278" "mitotic cell cycle" 0.5125
0 0.457086821275632 2 8 "GO:0000902;GO:0009653" "cell morphogenesis" 0.651851851851852
0 0.868135195841989 1 65 "GO:0002376" "immune system process" 0.965909090909091
0 0.930992893527217 2 182 "GO:0005975" "carbohydrate metabolic process" 0.958333333333333
0 0.341616857914095 3 65 "GO:0006091" "generation of precursor metabolites and energy" 0.5
0 0.00348345052454089 2 479 "GO:0006259;GO:0044260;GO:0090304" "nucleic acid metabolic process" 0.1
0 0.726613847086213 7 66 "GO:0006397;GO:0006396;GO:0016071" "mRNA processing" 0.875675675675676
0 0.0345541380800633 5 62 "GO:0006399;GO:0034660" "tRNA metabolic process" 0.35
0 0.106264912943624 2 145 "GO:0006412;GO:0019538;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:0043603;GO:0044271;GO:1901576" "protein metabolic process" 0.533333333333333
0 0.196369236707972 2 21 "GO:0006457" "protein folding" 0.590909090909091
0 0.465753058203289 4 303 "GO:0006520;GO:0019752;GO:0043436;GO:0006082" "cellular amino acid metabolic process" 0.635714285714286
0 0.766368069013245 5 19 "GO:0006605;GO:0006886;GO:0015031;GO:0045184;GO:0071702;GO:0071705;GO:0008104;GO:0070727;GO:0033036" "protein transport" 0.858974358974359
0 0.880944010963902 3 199 "GO:0006629" "lipid metabolic process" 0.953333333333333
0 0.77080160086053 2 54 "GO:0006790" "sulfur compound metabolic process" 0.85
0 0.799659405425058 3 21 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.885365853658536
0 1 2 13 "GO:0006914;GO:0061919" "autophagy" 1
0 0.515107648885277 2 201 "GO:0006950;GO:0050896" "response to stress" 0.65625
0 0.244946453456044 2 295 "GO:0006996" "organelle organization" 0.571428571428571
0 1 3 48 "GO:0007005" "mitochondrion organization" 1
0 1 2 8 "GO:0007009" "plasma membrane organization" 1
0 0.0582693660246929 2 144 "GO:0007010" "cytoskeleton organization" 0.333333333333333
0 0.0660537124435763 2 6 "GO:0007034" "vacuolar transport" 0.375
0 0.130152233099556 2 103 "GO:0007049" "cell cycle" 0.585714285714286
0 0.338725830640076 2 28 "GO:0007059" "chromosome segregation" 0.521739130434783
0 0.266147140351398 2 158 "GO:0007155" "cell adhesion" 0.54375
0 0.859236747027739 2 98 "GO:0007267;GO:0007154;GO:0023052" "cell-cell signaling" 0.976744186046512
0 0.955751863707587 2 141 "GO:0008219" "cell death" 0.953061224489796
0 0.891818384734832 2 29 "GO:0008283" "cell population proliferation" 0.947826086956522
0 0.85436558016706 2 269 "GO:0009056" "catabolic process" 0.990476190476191
0 0.568455631356574 2 11 "GO:0009790;GO:0007275" "embryo development" 0.7
0 0.140826259499264 2 128 "GO:0016070" "RNA metabolic process" 0.522222222222222
0 0.307819215898391 2 176 "GO:0016192" "vesicle-mediated transport" 0.54
0 0.473484438109757 2 196 "GO:0022607;GO:0065003;GO:0043933" "cellular component assembly" 0.620689655172414
0 0.488207583033673 3 22 "GO:0022618;GO:0071826" "ribonucleoprotein complex subunit organization" 0.62
0 0.620867357090967 2 28 "GO:0030154;GO:0048869" "cell differentiation" 0.728571428571429
0 0.457086821275632 2 8 "GO:0030705" "cytoskeleton-dependent intracellular transport" 0.651851851851852
0 0.620867357090967 1 28 "GO:0032501" "multicellular organismal process" 0.728571428571429
0 0.090790690123655 2 43 "GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0044248;GO:1901575" "cellular catabolic process" 0.5
0 0.276604679136195 1 25 "GO:0040007" "growth" 0.547058823529412
0 0.314557870130212 2 113 "GO:0042254;GO:0022613;GO:0044085" "ribosome biogenesis" 0.523809523809524
0 0.29821054157461 3 74 "GO:0042592;GO:0065008" "homeostatic process" 0.561111111111111
0 0.333443296552163 3 52 "GO:0046907;GO:0051641;GO:0051649" "intracellular transport" 0.536363636363636
0 1 2 11 "GO:0048646" "anatomical structure formation involved in morphogenesis" 1
0 0.14737137403273 2 94 "GO:0048856;GO:0032502" "developmental process" 0.48
0 0.218456109165108 2 12 "GO:0048870" "cell motility" 0.608333333333333
0 0.727579758206376 2 17 "GO:0050877;GO:0003008" "nervous system process" 0.852631578947368
0 0.648184346348112 -1 89 "GO:0051186" "obsolete cofactor metabolic process" 0.75
0 0.511470470040291 2 105 "GO:0051276" "chromosome organization" 0.67741935483871
0 0.303264129647878 2 38 "GO:0051301" "cell division" 0.552631578947368
0 0.235869845912041 2 23 "GO:0051604" "protein maturation" 0.607692307692308
0 0.920140797623646 2 145 "GO:0055085" "transmembrane transport" 0.957446808510638
0 1 2 20 "GO:0061024" "membrane organization" 1
0 1 2 4 "GO:0071554" "cell wall organization or biogenesis" 1
0 0.246465304741165 5 13 "GO:0140014;GO:0000280;GO:1903047;GO:0048285;GO:0022402" "mitotic nuclear division" 0.54
