"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
130 0.746168003428827 1 32 "GO:0000003" "reproduction" 0.835142979513074
671 0.00999237776528692 3 77 "GO:0000278" "mitotic cell cycle" 0.0574561721503998
-1503 4.96687684752107e-06 2 48 "GO:0000902;GO:0009653" "cell morphogenesis" 8.56786256197385e-05
-422 0.0238836966801356 1 151 "GO:0002376" "immune system process" 0.0915541706071865
529 0.0700878094999132 2 61 "GO:0003008" "system process" 0.191860996237206
89 0.409326728367638 3 470 "GO:0005975" "carbohydrate metabolic process" 0.58840717202848
303 0.0684568968077512 2 192 "GO:0006091" "generation of precursor metabolites and energy" 0.191860996237206
-11 0.890596185464225 3 899 "GO:0006139;GO:0006725;GO:0046483;GO:1901360" "cellular aromatic compound metabolic process" 0.91991665042266
-41 0.708719449794449 4 461 "GO:0006259" "DNA metabolic process" 0.828841390437576
-287 0.0988649390993459 7 175 "GO:0006397;GO:0006396;GO:0016071" "mRNA processing" 0.220054219285641
506 0.00299310078661861 7 182 "GO:0006399;GO:0034660" "tRNA metabolic process" 0.023858200131727
850 2.03740482969841e-09 4 266 "GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271" "translation" 1.4058093324919e-07
212 0.419419786231759 2 76 "GO:0006457" "protein folding" 0.59061153571411
77 0.26447181304909 3 1288 "GO:0006520;GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 0.427690451643168
310 0.361915094929552 5 45 "GO:0006605;GO:0006886;GO:0015031;GO:0045184;GO:0071702;GO:0071705;GO:0008104;GO:0070727;GO:0033036" "protein transport" 0.531322160641257
-30 0.752910713740411 2 620 "GO:0006629" "lipid metabolic process" 0.835142979513074
365 0.0313287781547432 3 184 "GO:0006790" "sulfur compound metabolic process" 0.102937413937013
-629 0.0299088762706612 4 62 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.102937413937013
455 0.224608001480421 3 37 "GO:0006914;GO:0061919" "autophagy" 0.418777275511452
-60 0.537557334552909 2 583 "GO:0006950;GO:0050896" "response to stress" 0.727283452630406
-205 0.00963579681813109 2 934 "GO:0006996" "organelle organization" 0.0574561721503998
-280 0.142394702927668 2 145 "GO:0007005" "mitochondrion organization" 0.29773437884876
-741 0.223024110343946 5 14 "GO:0007009" "plasma membrane organization" 0.418777275511452
-369 0.000488787775803212 5 492 "GO:0007010" "cytoskeleton organization" 0.00673228272085334
328 0.480225944516589 3 24 "GO:0007034" "vacuolar transport" 0.662711803432893
-204 0.128527347306279 2 297 "GO:0007049" "cell cycle" 0.277137092629164
324 0.229392117612792 2 72 "GO:0007059" "chromosome segregation" 0.418777275511452
-26 0.813618721193446 2 434 "GO:0007155" "cell adhesion" 0.863687565574581
-633 1.83233237872172e-06 2 306 "GO:0007267;GO:0007154;GO:0023052" "cell-cell signaling" 4.21436447105996e-05
144 0.24883867095608 2 348 "GO:0008219" "cell death" 0.418777275511452
